,profit (Mn),gen (TWh),RSI,MI,LI,OG
seed_521,1.2272815961837769,25.5,-0.9039335082218047,0.5833333333333334,0.6654993360349558,0.3020833333333333
seed_737,1.2221323728561402,25.5,-0.9037830353532901,0.5833333333333334,0.6635975156946846,0.3020833333333333
seed_740,1.2928016023635864,28.5,-0.9389127991433357,0.7083333333333334,0.6605175849379668,0.23958333333333334
seed_660,1.2248241691589354,25.5,-0.904252659829833,0.5833333333333334,0.6648765099718104,0.3020833333333333
seed_411,1.345159429550171,29.5,-0.9543338305306646,0.75,0.6406689999040341,0.21875
seed_678,1.2218935618400573,25.5,-0.9040112717641234,0.5833333333333334,0.6636785633225457,0.3020833333333333
seed_626,1.247230058670044,26.5,-0.9149279479449295,0.625,0.6631981881879196,0.28125
seed_513,1.1961324920654297,37.0,-0.9787288355472249,0.20833333333333334,0.645317605217689,0.0625
seed_859,1.2244093322753906,25.5,-0.9043443970932495,0.5833333333333334,0.6647995807908543,0.3020833333333333
seed_136,1.2941564655303954,28.5,-0.9388542509245545,0.7083333333333334,0.6399941741999225,0.23958333333333334
seed_811,1.234321019411087,27.5,-0.9043701633642223,0.6666666666666666,0.6022163230649176,0.2604166666666667
seed_76,1.1887824783325196,37.0,-0.9765739578220192,0.20833333333333334,0.6219949602569301,0.0625
seed_636,1.338870182991028,29.5,-0.9544447776157927,0.75,0.6454667772090387,0.21875
seed_973,1.2969581294059753,28.5,-0.9398774088786173,0.7083333333333334,0.6617139506125762,0.23958333333333334
seed_938,1.2893263463973998,31.0,-0.9584799485752487,0.5833333333333334,0.660235853088213,0.1875
seed_899,1.3120576658248901,30.0,-0.9603181658755684,0.6666666666666666,0.6605268369460712,0.20833333333333334
seed_280,1.3240453433990478,29.5,-0.9624527265809095,0.7083333333333334,0.6403837898134845,0.21875
seed_883,1.3243893556594848,29.5,-0.9537598199081965,0.75,0.6549511673845242,0.21875
seed_761,1.2280173625946045,25.5,-0.9040102303407097,0.5833333333333334,0.6658175311960406,0.3020833333333333
seed_319,1.2251970348358154,25.5,-0.904192245292609,0.5833333333333334,0.6649621576801337,0.3020833333333333
seed_549,1.2278121156692505,25.5,-0.9043970658446996,0.5833333333333334,0.6660514757978054,0.3020833333333333
seed_174,1.268732048034668,32.0,-0.9577319778220457,0.5,0.6604237646498619,0.16666666666666666
seed_371,1.2322572462558747,26.5,-0.9041541032844127,0.625,0.6346698474014246,0.28125
seed_527,1.3249485197067261,29.5,-0.9626520081943141,0.7083333333333334,0.6613695481111703,0.21875
seed_210,1.2219939537048339,25.5,-0.903595924396317,0.5833333333333334,0.6634162462127787,0.3020833333333333
seed_235,1.294056857585907,28.5,-0.9395669565805163,0.7083333333333334,0.6474609317036835,0.23958333333333334
seed_101,1.224362696170807,25.5,-0.9041195170299408,0.5833333333333334,0.6646159314069165,0.3020833333333333
seed_986,1.2237737517356873,25.5,-0.9038322145711197,0.5833333333333334,0.6642013868246767,0.3020833333333333
seed_902,1.22918647313118,27.5,-0.9040523248937575,0.6666666666666666,0.5998160723065086,0.2604166666666667
seed_947,1.3007981343269348,31.5,-0.9394106370040824,0.75,0.6030188411295325,0.15625
seed_346,1.3110024032592773,28.5,-0.9397971714429514,0.7083333333333334,0.6646648098025731,0.23958333333333334
seed_139,1.2273870992660523,25.5,-0.9039258913883544,0.5833333333333334,0.6655306440550236,0.3020833333333333
seed_621,1.2917745180130005,28.5,-0.9390311168816605,0.7083333333333334,0.6604557941852813,0.23958333333333334
seed_499,1.3371873750686645,29.5,-0.9628826008849041,0.7083333333333334,0.6637248807267339,0.21875
seed_370,1.2444403367042542,33.0,-0.9581847394067234,0.4166666666666667,0.6244456766212205,0.14583333333333334
seed_198,1.2298232402801514,26.5,-0.904270518071616,0.625,0.6358376226391583,0.28125
seed_687,1.2870210886001587,28.5,-0.9383015800534847,0.7083333333333334,0.6524229043780906,0.23958333333333334
seed_584,1.2245432109832763,25.5,-0.9041596670740155,0.5833333333333334,0.6647087723867812,0.3020833333333333
seed_901,1.1990416932106018,37.0,-0.9789425071394143,0.20833333333333334,0.648266018894568,0.0625
seed_59,1.2100629615783691,27.5,-0.8854664625890595,0.625,0.6073886897046616,0.23958333333333334
seed_328,1.2203012523651122,25.5,-0.9035201059443013,0.5833333333333334,0.6627779957035528,0.3020833333333333
seed_96,1.2231475825309754,25.5,-0.9038042008579403,0.5833333333333334,0.6639641241016566,0.3020833333333333
seed_312,1.2229282422065735,25.5,-0.9038336463414954,0.5833333333333334,0.6639093284576922,0.3020833333333333
seed_974,1.223208475112915,25.5,-0.9040036586787742,0.5833333333333334,0.6641293334459497,0.3020833333333333
seed_299,1.2361351840496064,27.5,-0.904444907435727,0.6666666666666666,0.6058843668408482,0.2604166666666667
seed_277,1.2370736932754516,27.5,-0.904447219361693,0.6666666666666666,0.6086357857052394,0.2604166666666667
seed_924,1.2940575585365295,28.5,-0.9397641460874833,0.7083333333333334,0.6611535480099888,0.23958333333333334
seed_601,1.3235722503662108,29.5,-0.9542188992317279,0.75,0.661462727351629,0.21875
seed_439,1.2229153847694396,25.5,-0.9036900525243334,0.5833333333333334,0.6638018416509943,0.3020833333333333
seed_837,1.2230371012687684,25.5,-0.9037216649931586,0.5833333333333334,0.6638665949175463,0.3020833333333333
seed_570,1.2249255523681641,25.5,-0.9039445311123752,0.5833333333333334,0.6646834843289133,0.3020833333333333
seed_879,1.2228598651885987,25.5,-0.9037812718177869,0.5833333333333334,0.6638480122260979,0.3020833333333333
seed_261,1.2227460794448852,25.5,-0.9039142375284349,0.5833333333333334,0.6639042039311357,0.3020833333333333
seed_578,1.3131940727233886,28.5,-0.9395610966123206,0.7083333333333334,0.6451888237635868,0.23958333333333334
seed_23,1.1877216296195985,37.0,-0.9798343974100931,0.20833333333333334,0.5676579984101225,0.0625
seed_30,1.22252166223526,25.5,-0.9038364575462237,0.5833333333333334,0.6637705052979046,0.3020833333333333
seed_617,1.1957110290527344,37.0,-0.9793885046901574,0.20833333333333334,0.6457446979421018,0.0625
seed_10,1.1886029176712036,37.0,-0.980748130170458,0.20833333333333334,0.6407587655793573,0.0625
seed_221,1.2234747433662414,25.5,-0.9039798124286346,0.5833333333333334,0.6642044891883293,0.3020833333333333
