,efficiency,emission_factor,max_power,min_power,node,simulation,technology,unit_operator
Solar,1,0,10000,0,node0,base_mc_base,solar,renewables_operator
pp_1,0.36,0,1000,0,node0,base_mc_base,nuclear,Operator 1
pp_2,0.36,0,1000,0,node0,base_mc_base,nuclear,Operator 1
pp_4,0.5,0.335,1000,0,node0,base_mc_base,hard coal,Operator 1
pp_7,0.75,0.201,500,0,node0,base_mc_base,combined cycle gas turbine,Operator 1
pp_8,0.75,0.201,500,0,node0,base_mc_base,combined cycle gas turbine,Operator 1
pp_9,0.75,0.201,500,0,node0,base_mc_base,combined cycle gas turbine,Operator 1
pp_10,0.75,0.201,500,0,node0,base_mc_base,oil,Operator 1
pp_3,0.4,0.406,1000,0,node0,base_mc_base,lignite,Operator-RL
pp_5,0.5,0.335,1000,0,node0,base_mc_base,hard coal,Operator-RL
