,datetime,market_id,power,simulation,unit_id
0,2019-01-01 01:00:00,EOM,303,germany_mc_base_case_2019,KW DUISBURG HUCKINGEN BLOCK A
1,2019-01-01 01:00:00,EOM,303,germany_mc_base_case_2019,KW DUISBURG HUCKINGEN BLOCK B
2,2019-01-01 01:00:00,EOM,40,germany_mc_base_case_2019,HKW DUISBURG WANHEIM IIIA
3,2019-01-01 01:00:00,EOM,94,germany_mc_base_case_2019,KW MAINZ II GT
4,2019-01-01 01:00:00,EOM,2868,germany_mc_base_case_2019,Wind Offshore
5,2019-01-01 01:00:00,EOM,1553.7,germany_mc_base_case_2019,Hydro
6,2019-01-01 01:00:00,EOM,22036,germany_mc_base_case_2019,Wind Onshore
7,2019-01-01 01:00:00,EOM,4904,germany_mc_base_case_2019,Biomass
8,2019-01-01 01:00:00,EOM,111,germany_mc_base_case_2019,BARMEN II
9,2019-01-01 01:00:00,EOM,49,germany_mc_base_case_2019,IKW GENDORF INFRASERV
10,2019-01-01 01:00:00,EOM,98,germany_mc_base_case_2019,HKW FRANKFURT WEST GT
11,2019-01-01 01:00:00,EOM,38,germany_mc_base_case_2019,AHRENSFELDE GT D
12,2019-01-01 01:00:00,EOM,38,germany_mc_base_case_2019,AHRENSFELDE GT A
13,2019-01-01 01:00:00,EOM,38,germany_mc_base_case_2019,AHRENSFELDE GT B
14,2019-01-01 01:00:00,EOM,38,germany_mc_base_case_2019,THYROW GT E
15,2019-01-01 01:00:00,EOM,38,germany_mc_base_case_2019,AHRENSFELDE GT C
16,2019-01-01 01:00:00,EOM,71,germany_mc_base_case_2019,CHARLOTTENBURG GT 2
17,2019-01-01 01:00:00,EOM,60,germany_mc_base_case_2019,CHARLOTTENBURG GT 3
18,2019-01-01 01:00:00,EOM,71,germany_mc_base_case_2019,CHARLOTTENBURG GT 1
19,2019-01-01 01:00:00,EOM,150,germany_mc_base_case_2019,LICHTERFELDE 2
20,2019-01-01 01:00:00,EOM,110,germany_mc_base_case_2019,WILMERSDORF GT 3
21,2019-01-01 01:00:00,EOM,110,germany_mc_base_case_2019,WILMERSDORF GT 2
22,2019-01-01 01:00:00,EOM,51,germany_mc_base_case_2019,WEDEL GT 2
23,2019-01-01 01:00:00,EOM,51,germany_mc_base_case_2019,WEDEL GT 1
24,2019-01-01 01:00:00,EOM,150,germany_mc_base_case_2019,LICHTERFELDE 1
25,2019-01-01 01:00:00,EOM,0,germany_mc_base_case_2019,Hohenwarte I
26,2019-01-01 01:00:00,EOM,0,germany_mc_base_case_2019,Bleiloch
27,2019-01-01 01:00:00,EOM,0,germany_mc_base_case_2019,Wendefurth
28,2019-01-01 01:00:00,EOM,0,germany_mc_base_case_2019,Geesthacht
29,2019-01-01 01:00:00,EOM,0,germany_mc_base_case_2019,Hohenwarte II
30,2019-01-01 01:00:00,EOM,0,germany_mc_base_case_2019,Markersbach
31,2019-01-01 01:00:00,EOM,0,germany_mc_base_case_2019,Goldisthal
32,2019-01-01 01:00:00,EOM,64,germany_mc_base_case_2019,KW OBERNBURG GT1
33,2019-01-01 01:00:00,EOM,60,germany_mc_base_case_2019,GTKW BIELEFELD UMMELN
34,2019-01-01 01:00:00,EOM,44,germany_mc_base_case_2019,PEISSENBERG 1
35,2019-01-01 01:00:00,EOM,67,germany_mc_base_case_2019,HKW CHEMNITZ NORD II BLOCK A
36,2019-01-01 01:00:00,EOM,150,germany_mc_base_case_2019,KW MITTELSBUEREN BLOCK 4
37,2019-01-01 01:00:00,EOM,150,germany_mc_base_case_2019,KW BREMEN HASTEDT 14
38,2019-01-01 01:00:00,EOM,88,germany_mc_base_case_2019,MITTELSBUEREN GT 3
39,2019-01-01 01:00:00,EOM,78,germany_mc_base_case_2019,KW MARL BLOCK 312 EVONIK
40,2019-01-01 01:00:00,EOM,272,germany_mc_base_case_2019,KW WEISWEILER VGT BLOCK G
