,demand_volume,demand_volume_energy,market_id,max_price,min_price,node,only_hours,price,product_end,product_start,simulation,supply_volume,supply_volume_energy,time
0,40864,40864,EOM,321.1,321.1,,,321.1,2019-01-01 02:00:00,2019-01-01 01:00:00,germany_mc_base_case_2019,40864,40864,2019-01-01 01:00:00
1,40163,40163,EOM,143.09,143.09,,,143.09,2019-01-01 03:00:00,2019-01-01 02:00:00,germany_mc_base_case_2019,40163,40163,2019-01-01 02:00:00
2,51194,51194,EOM,101.62,101.62,,,101.62,2019-01-01 04:00:00,2019-01-01 03:00:00,germany_mc_base_case_2019,51194,51194,2019-01-01 03:00:00
3,51717,51717,EOM,71.083,71.083,,,71.083,2019-01-01 05:00:00,2019-01-01 04:00:00,germany_mc_base_case_2019,51717,51717,2019-01-01 04:00:00
4,51817,51817,EOM,66.526,66.526,,,66.526,2019-01-01 06:00:00,2019-01-01 05:00:00,germany_mc_base_case_2019,51817,51817,2019-01-01 05:00:00
5,52438,52438,EOM,49.904,49.904,,,49.904,2019-01-01 07:00:00,2019-01-01 06:00:00,germany_mc_base_case_2019,52438,52438,2019-01-01 06:00:00
6,53722,53722,EOM,30.743,30.743,,,30.743,2019-01-01 08:00:00,2019-01-01 07:00:00,germany_mc_base_case_2019,53722,53722,2019-01-01 07:00:00
7,54047,54047,EOM,21.434,21.434,,,21.434,2019-01-01 09:00:00,2019-01-01 08:00:00,germany_mc_base_case_2019,54047,54047,2019-01-01 08:00:00
8,55917,55917,EOM,24.939,24.939,,,24.939,2019-01-01 10:00:00,2019-01-01 09:00:00,germany_mc_base_case_2019,55917,55917,2019-01-01 09:00:00
9,59018,59018,EOM,17.905,17.905,,,17.905,2019-01-01 11:00:00,2019-01-01 10:00:00,germany_mc_base_case_2019,59018,59018,2019-01-01 10:00:00
10,61965,61965,EOM,14.222,14.222,,,14.222,2019-01-01 12:00:00,2019-01-01 11:00:00,germany_mc_base_case_2019,61965,61965,2019-01-01 11:00:00
11,62945,62945,EOM,14.559,14.559,,,14.559,2019-01-01 13:00:00,2019-01-01 12:00:00,germany_mc_base_case_2019,62945,62945,2019-01-01 12:00:00
12,63177,63177,EOM,14.834,14.834,,,14.834,2019-01-01 14:00:00,2019-01-01 13:00:00,germany_mc_base_case_2019,63177,63177,2019-01-01 13:00:00
13,63846,63846,EOM,24.229,24.229,,,24.229,2019-01-01 15:00:00,2019-01-01 14:00:00,germany_mc_base_case_2019,63846,63846,2019-01-01 14:00:00
14,65128,65128,EOM,29.249,29.249,,,29.249,2019-01-01 16:00:00,2019-01-01 15:00:00,germany_mc_base_case_2019,65128,65128,2019-01-01 15:00:00
15,66873,66873,EOM,30.383,30.383,,,30.383,2019-01-01 17:00:00,2019-01-01 16:00:00,germany_mc_base_case_2019,66873,66873,2019-01-01 16:00:00
16,68969,68969,EOM,36.578,36.578,,,36.578,2019-01-01 18:00:00,2019-01-01 17:00:00,germany_mc_base_case_2019,68969,68969,2019-01-01 17:00:00
17,68799,68799,EOM,29.205,29.205,,,29.205,2019-01-01 19:00:00,2019-01-01 18:00:00,germany_mc_base_case_2019,68799,68799,2019-01-01 18:00:00
18,67438,67438,EOM,25.006,25.006,,,25.006,2019-01-01 20:00:00,2019-01-01 19:00:00,germany_mc_base_case_2019,67438,67438,2019-01-01 19:00:00
19,65355,65355,EOM,14.225,14.225,,,14.225,2019-01-01 21:00:00,2019-01-01 20:00:00,germany_mc_base_case_2019,65355,65355,2019-01-01 20:00:00
20,63300,63300,EOM,13.342,13.342,,,13.342,2019-01-01 22:00:00,2019-01-01 21:00:00,germany_mc_base_case_2019,63300,63300,2019-01-01 21:00:00
21,61161,61161,EOM,13.027,13.027,,,13.027,2019-01-01 23:00:00,2019-01-01 22:00:00,germany_mc_base_case_2019,61161,61161,2019-01-01 22:00:00
22,58708,58708,EOM,13.027,13.027,,,13.027,2019-01-02 00:00:00,2019-01-01 23:00:00,germany_mc_base_case_2019,58708,58708,2019-01-01 23:00:00
23,56438,56438,EOM,13.027,13.027,,,13.027,2019-01-02 01:00:00,2019-01-02 00:00:00,germany_mc_base_case_2019,56438,56438,2019-01-02 00:00:00
24,55218,55218,EOM,13.027,13.027,,,13.027,2019-01-02 02:00:00,2019-01-02 01:00:00,germany_mc_base_case_2019,55218,55218,2019-01-02 01:00:00
25,55345,55345,EOM,13.027,13.027,,,13.027,2019-01-02 03:00:00,2019-01-02 02:00:00,germany_mc_base_case_2019,55345,55345,2019-01-02 02:00:00
26,55976,55976,EOM,13.027,13.027,,,13.027,2019-01-02 04:00:00,2019-01-02 03:00:00,germany_mc_base_case_2019,55976,55976,2019-01-02 03:00:00
27,56993,56993,EOM,13.027,13.027,,,13.027,2019-01-02 05:00:00,2019-01-02 04:00:00,germany_mc_base_case_2019,56993,56993,2019-01-02 04:00:00
28,60064,60064,EOM,13.027,13.027,,,13.027,2019-01-02 06:00:00,2019-01-02 05:00:00,germany_mc_base_case_2019,60064,60064,2019-01-02 05:00:00
29,65587,65587,EOM,32.214,32.214,,,32.214,2019-01-02 07:00:00,2019-01-02 06:00:00,germany_mc_base_case_2019,65587,65587,2019-01-02 06:00:00
30,70632,70632,EOM,38.12,38.12,,,38.12,2019-01-02 08:00:00,2019-01-02 07:00:00,germany_mc_base_case_2019,70632,70632,2019-01-02 07:00:00
31,72945,72945,EOM,38.223,38.223,,,38.223,2019-01-02 09:00:00,2019-01-02 08:00:00,germany_mc_base_case_2019,72945,72945,2019-01-02 08:00:00
32,74850,74850,EOM,39.868,39.868,,,39.868,2019-01-02 10:00:00,2019-01-02 09:00:00,germany_mc_base_case_2019,74850,74850,2019-01-02 09:00:00
33,76376,76376,EOM,37.938,37.938,,,37.938,2019-01-02 11:00:00,2019-01-02 10:00:00,germany_mc_base_case_2019,76376,76376,2019-01-02 10:00:00
34,78115,78115,EOM,32.648,32.648,,,32.648,2019-01-02 12:00:00,2019-01-02 11:00:00,germany_mc_base_case_2019,78115,78115,2019-01-02 11:00:00
35,78178,78178,EOM,32.559,32.559,,,32.559,2019-01-02 13:00:00,2019-01-02 12:00:00,germany_mc_base_case_2019,78178,78178,2019-01-02 12:00:00
36,77411,77411,EOM,32.802,32.802,,,32.802,2019-01-02 14:00:00,2019-01-02 13:00:00,germany_mc_base_case_2019,77411,77411,2019-01-02 13:00:00
