,datetime,market_id,power,simulation,unit_id
0,2019-01-01 01:00:00,EOM,4904,germany_op_base_case_2019,Biomass
1,2019-01-01 01:00:00,EOM,1553.7,germany_op_base_case_2019,Hydro
2,2019-01-01 01:00:00,EOM,2868,germany_op_base_case_2019,Wind Offshore
3,2019-01-01 01:00:00,EOM,22036,germany_op_base_case_2019,Wind Onshore
4,2019-01-01 01:00:00,EOM,78,germany_op_base_case_2019,KW MARL BLOCK 312 EVONIK
5,2019-01-01 01:00:00,EOM,65,germany_op_base_case_2019,ALTBACH II GT E
6,2019-01-01 01:00:00,EOM,0,germany_op_base_case_2019,MARBACH 3
7,2019-01-01 01:00:00,EOM,0,germany_op_base_case_2019,WALHEIM GT 1
8,2019-01-01 01:00:00,EOM,0,germany_op_base_case_2019,ALTBACH I GT 3
9,2019-01-01 01:00:00,EOM,0,germany_op_base_case_2019,FLINGERN GT 1
10,2019-01-01 01:00:00,EOM,0,germany_op_base_case_2019,ALTBACH I GT 2
11,2019-01-01 01:00:00,EOM,0,germany_op_base_case_2019,MARBACH 3 GT 1
12,2019-01-01 01:00:00,EOM,0,germany_op_base_case_2019,ALTBACH I NO 5 GT 1
13,2019-01-01 01:00:00,EOM,47,germany_op_base_case_2019,GTKW DARMSTADT GT 1
14,2019-01-01 01:00:00,EOM,47,germany_op_base_case_2019,GTKW DARMSTADT GT 2
15,2019-01-01 01:00:00,EOM,49,germany_op_base_case_2019,IKW GENDORF INFRASERV
16,2019-01-01 01:00:00,EOM,178,germany_op_base_case_2019,DKW BGH O1 BURGHAUSEN WACKER CHEMIE
17,2019-01-01 01:00:00,EOM,303,germany_op_base_case_2019,KW DUISBURG HUCKINGEN BLOCK A
18,2019-01-01 01:00:00,EOM,303,germany_op_base_case_2019,KW DUISBURG HUCKINGEN BLOCK B
19,2019-01-01 01:00:00,EOM,40,germany_op_base_case_2019,HKW DUISBURG WANHEIM IIIA
20,2019-01-01 01:00:00,EOM,1406,germany_op_base_case_2019,KKW EMSLAND
21,2019-01-01 01:00:00,EOM,1344,germany_op_base_case_2019,KKW GUNDREMMINGEN C
22,2019-01-01 01:00:00,EOM,1120,germany_op_base_case_2019,NEURATH G
23,2019-01-01 01:00:00,EOM,1120,germany_op_base_case_2019,NEURATH F
24,2019-01-01 01:00:00,EOM,1012,germany_op_base_case_2019,NIEDERAUSSEM K
25,2019-01-01 01:00:00,EOM,620,germany_op_base_case_2019,NIEDERAUSSEM G
26,2019-01-01 01:00:00,EOM,620,germany_op_base_case_2019,NIEDERAUSSEM H
27,2019-01-01 01:00:00,EOM,600,germany_op_base_case_2019,WEISWEILER H
28,2019-01-01 01:00:00,EOM,600,germany_op_base_case_2019,NEURATH D
29,2019-01-01 01:00:00,EOM,600,germany_op_base_case_2019,NEURATH E
30,2019-01-01 01:00:00,EOM,300,germany_op_base_case_2019,NEURATH C
31,2019-01-01 01:00:00,EOM,300,germany_op_base_case_2019,NEURATH B
32,2019-01-01 01:00:00,EOM,300,germany_op_base_case_2019,NEURATH A
33,2019-01-01 01:00:00,EOM,600,germany_op_base_case_2019,WEISWEILER G
34,2019-01-01 01:00:00,EOM,320,germany_op_base_case_2019,NIEDERAUSSEM F
35,2019-01-01 01:00:00,EOM,315,germany_op_base_case_2019,NIEDERAUSSEM E
36,2019-01-01 01:00:00,EOM,300,germany_op_base_case_2019,FRIMMERSDORF Q
37,2019-01-01 01:00:00,EOM,300,germany_op_base_case_2019,WEISWEILER E
38,2019-01-01 01:00:00,EOM,335,germany_op_base_case_2019,NIEDERAUSSEM C
39,2019-01-01 01:00:00,EOM,300,germany_op_base_case_2019,FRIMMERSDORF P
40,2019-01-01 01:00:00,EOM,300,germany_op_base_case_2019,NIEDERAUSSEM D
41,2019-01-01 01:00:00,EOM,300,germany_op_base_case_2019,WEISWEILER F
