,demand_volume,demand_volume_energy,market_id,max_price,min_price,node,only_hours,price,product_end,product_start,simulation,supply_volume,supply_volume_energy,time
0,53217,53217,EOM,105.2,105.2,,,105.2,2019-01-01 02:00:00,2019-01-01 01:00:00,germany_op_base_case_2019,53217,53217,2019-01-01 01:00:00
1,51942,51942,EOM,103.55,103.55,,,103.55,2019-01-01 03:00:00,2019-01-01 02:00:00,germany_op_base_case_2019,51942,51942,2019-01-01 02:00:00
2,51194,51194,EOM,61.758,61.758,,,61.758,2019-01-01 04:00:00,2019-01-01 03:00:00,germany_op_base_case_2019,51194,51194,2019-01-01 03:00:00
3,51717,51717,EOM,58.893,58.893,,,58.893,2019-01-01 05:00:00,2019-01-01 04:00:00,germany_op_base_case_2019,51717,51717,2019-01-01 04:00:00
4,51817,51817,EOM,57.243,57.243,,,57.243,2019-01-01 06:00:00,2019-01-01 05:00:00,germany_op_base_case_2019,51817,51817,2019-01-01 05:00:00
5,52438,52438,EOM,42.841,42.841,,,42.841,2019-01-01 07:00:00,2019-01-01 06:00:00,germany_op_base_case_2019,52438,52438,2019-01-01 06:00:00
6,53722,53722,EOM,38.051,38.051,,,38.051,2019-01-01 08:00:00,2019-01-01 07:00:00,germany_op_base_case_2019,53722,53722,2019-01-01 07:00:00
7,54047,54047,EOM,33.895,33.895,,,33.895,2019-01-01 09:00:00,2019-01-01 08:00:00,germany_op_base_case_2019,54047,54047,2019-01-01 08:00:00
8,55917,55917,EOM,35.266,35.266,,,35.266,2019-01-01 10:00:00,2019-01-01 09:00:00,germany_op_base_case_2019,55917,55917,2019-01-01 09:00:00
9,59018,59018,EOM,33.144,33.144,,,33.144,2019-01-01 11:00:00,2019-01-01 10:00:00,germany_op_base_case_2019,59018,59018,2019-01-01 10:00:00
10,61965,61965,EOM,30.984,30.984,,,30.984,2019-01-01 12:00:00,2019-01-01 11:00:00,germany_op_base_case_2019,61965,61965,2019-01-01 11:00:00
11,62945,62945,EOM,32.428,32.428,,,32.428,2019-01-01 13:00:00,2019-01-01 12:00:00,germany_op_base_case_2019,62945,62945,2019-01-01 12:00:00
