time,energy_cashflow,energy_generation_costs,heat,power,simulation,unit
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,Wind Onshore
2019-01-01 01:00:00,,0,0,22036,germany_op_base_case_2019,Wind Onshore
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,Wind Offshore
2019-01-01 01:00:00,,0,0,2868,germany_op_base_case_2019,Wind Offshore
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,Solar
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,Solar
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,Hydro
2019-01-01 01:00:00,,0,0,1553.7,germany_op_base_case_2019,Hydro
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,Biomass
2019-01-01 01:00:00,,0,0,4904,germany_op_base_case_2019,Biomass
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,KWK ANLAGE NEUSTADT
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,KWK ANLAGE NEUSTADT
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,BERGKAMEN A
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,BERGKAMEN A
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,KW MARL BLOCK 312 EVONIK
2019-01-01 01:00:00,,6417.3,0,78,germany_op_base_case_2019,KW MARL BLOCK 312 EVONIK
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,LUENEN 2 STUMMHAFEN
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,LUENEN 2 STUMMHAFEN
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,HAMM UENTROP BLOCK 10
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,HAMM UENTROP BLOCK 10
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,HAMM UENTROP BLOCK 20
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,HAMM UENTROP BLOCK 20
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,HOECHST 3
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,HOECHST 3
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,GUD ROSTOCK MARIENEHE
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,GUD ROSTOCK MARIENEHE
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,KKW PHILIPPSBURG 2
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,KKW PHILIPPSBURG 2
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,KKW NECKARWESTHEIM
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,KKW NECKARWESTHEIM
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,RDK (KARLSRUHE) 8
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,RDK (KARLSRUHE) 8
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,HEILBRONN 7
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,HEILBRONN 7
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,ROSTOCK 1
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,ROSTOCK 1
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,RDK (KARLSRUHE) 7
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,RDK (KARLSRUHE) 7
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,ALTBACH DEIZISAU HKW I
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,ALTBACH DEIZISAU HKW I
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,ALTBACH DEIZISAU HKW II
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,ALTBACH DEIZISAU HKW II
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,WALHEIM 2
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,WALHEIM 2
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,HEILBRONN 6
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,HEILBRONN 6
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,HEILBRONN 5
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,HEILBRONN 5
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,WALHEIM 1
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,WALHEIM 1
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,STUTTGART MUENSTER K25
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,STUTTGART MUENSTER K25
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,RDK (KARLSRUHE) 4RP
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,RDK (KARLSRUHE) 4RP
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,ALTBACH II GT E
2019-01-01 01:00:00,,5886.8,0,65,germany_op_base_case_2019,ALTBACH II GT E
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,MARBACH 3
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,MARBACH 3
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,WALHEIM GT 1
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,WALHEIM GT 1
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,ALTBACH I GT 3
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,ALTBACH I GT 3
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,FLINGERN GT 1
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,FLINGERN GT 1
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,ALTBACH I GT 2
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,ALTBACH I GT 2
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,MARBACH 3 GT 1
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,MARBACH 3 GT 1
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,ALTBACH I NO 5 GT 1
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,ALTBACH I NO 5 GT 1
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,GTKW DARMSTADT GT 1
2019-01-01 01:00:00,,3903.3,0,47,germany_op_base_case_2019,GTKW DARMSTADT GT 1
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,GTKW DARMSTADT GT 2
2019-01-01 01:00:00,,3903.3,0,47,germany_op_base_case_2019,GTKW DARMSTADT GT 2
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,IKW GENDORF INFRASERV
2019-01-01 01:00:00,,4347.4,0,49,germany_op_base_case_2019,IKW GENDORF INFRASERV
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,DKW BGH O1 BURGHAUSEN WACKER CHEMIE
2019-01-01 01:00:00,,16163,0,178,germany_op_base_case_2019,DKW BGH O1 BURGHAUSEN WACKER CHEMIE
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,HKW DUISBURG WANHEIM IIIB
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,HKW DUISBURG WANHEIM IIIB
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,KW DUISBURG HUCKINGEN BLOCK A
2019-01-01 01:00:00,,27300,0,303,germany_op_base_case_2019,KW DUISBURG HUCKINGEN BLOCK A
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,KW DUISBURG HUCKINGEN BLOCK B
2019-01-01 01:00:00,,27300,0,303,germany_op_base_case_2019,KW DUISBURG HUCKINGEN BLOCK B
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,HKW DUISBURG WANHEIM IIIA
2019-01-01 01:00:00,,3632.1,0,40,germany_op_base_case_2019,HKW DUISBURG WANHEIM IIIA
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,KKW EMSLAND
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,KKW EMSLAND
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,KKW GUNDREMMINGEN C
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,KKW GUNDREMMINGEN C
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,NEURATH F
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,NEURATH F
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,NEURATH G
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,NEURATH G
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,NIEDERAUSSEM K
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,NIEDERAUSSEM K
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,NIEDERAUSSEM G
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,NIEDERAUSSEM G
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,NIEDERAUSSEM H
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,NIEDERAUSSEM H
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,NEURATH D
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,NEURATH D
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,WEISWEILER H
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,WEISWEILER H
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,NEURATH E
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,NEURATH E
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,WEISWEILER G
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,WEISWEILER G
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,NIEDERAUSSEM C
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,NIEDERAUSSEM C
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,NIEDERAUSSEM F
2019-01-01 01:00:00,,0,0,0,germany_op_base_case_2019,NIEDERAUSSEM F
2019-01-01 00:00:00,,0,0,0,germany_op_base_case_2019,NIEDERAUSSEM E
