,datetime,market_id,power,simulation,unit_id
0,2019-01-01 01:00:00,EOM,223,germany_un_base_case_2019,KW DUISBURG HUCKINGEN BLOCK A
1,2019-01-01 01:00:00,EOM,223,germany_un_base_case_2019,KW DUISBURG HUCKINGEN BLOCK B
2,2019-01-01 01:00:00,EOM,40,germany_un_base_case_2019,HKW DUISBURG WANHEIM IIIA
3,2019-01-01 01:00:00,EOM,70,germany_un_base_case_2019,KW MAINZ II GT
4,2019-01-01 01:00:00,EOM,22036,germany_un_base_case_2019,Wind Onshore
5,2019-01-01 01:00:00,EOM,1553.7,germany_un_base_case_2019,Hydro
6,2019-01-01 01:00:00,EOM,2868,germany_un_base_case_2019,Wind Offshore
7,2019-01-01 01:00:00,EOM,4904,germany_un_base_case_2019,Biomass
8,2019-01-01 01:00:00,EOM,81,germany_un_base_case_2019,BARMEN II
9,2019-01-01 01:00:00,EOM,49,germany_un_base_case_2019,IKW GENDORF INFRASERV
10,2019-01-01 01:00:00,EOM,73,germany_un_base_case_2019,HKW FRANKFURT WEST GT
11,2019-01-01 01:00:00,EOM,38,germany_un_base_case_2019,AHRENSFELDE GT D
12,2019-01-01 01:00:00,EOM,38,germany_un_base_case_2019,AHRENSFELDE GT A
13,2019-01-01 01:00:00,EOM,38,germany_un_base_case_2019,AHRENSFELDE GT B
14,2019-01-01 01:00:00,EOM,38,germany_un_base_case_2019,THYROW GT E
15,2019-01-01 01:00:00,EOM,38,germany_un_base_case_2019,AHRENSFELDE GT C
16,2019-01-01 01:00:00,EOM,53,germany_un_base_case_2019,CHARLOTTENBURG GT 2
17,2019-01-01 01:00:00,EOM,53,germany_un_base_case_2019,CHARLOTTENBURG GT 1
18,2019-01-01 01:00:00,EOM,45,germany_un_base_case_2019,CHARLOTTENBURG GT 3
19,2019-01-01 01:00:00,EOM,110,germany_un_base_case_2019,LICHTERFELDE 2
20,2019-01-01 01:00:00,EOM,80,germany_un_base_case_2019,WILMERSDORF GT 2
21,2019-01-01 01:00:00,EOM,80,germany_un_base_case_2019,WILMERSDORF GT 3
22,2019-01-01 01:00:00,EOM,38,germany_un_base_case_2019,WEDEL GT 2
23,2019-01-01 01:00:00,EOM,110,germany_un_base_case_2019,LICHTERFELDE 1
24,2019-01-01 01:00:00,EOM,38,germany_un_base_case_2019,WEDEL GT 1
25,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,Hohenwarte I
26,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,Bleiloch
27,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,Wendefurth
28,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,Geesthacht
29,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,Hohenwarte II
30,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,Markersbach
31,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,Goldisthal
32,2019-01-01 01:00:00,EOM,48,germany_un_base_case_2019,KW OBERNBURG GT1
33,2019-01-01 01:00:00,EOM,45,germany_un_base_case_2019,GTKW BIELEFELD UMMELN
34,2019-01-01 01:00:00,EOM,44,germany_un_base_case_2019,PEISSENBERG 1
35,2019-01-01 01:00:00,EOM,50,germany_un_base_case_2019,HKW CHEMNITZ NORD II BLOCK A
36,2019-01-01 01:00:00,EOM,110,germany_un_base_case_2019,KW MITTELSBUEREN BLOCK 4
37,2019-01-01 01:00:00,EOM,110,germany_un_base_case_2019,KW BREMEN HASTEDT 14
38,2019-01-01 01:00:00,EOM,66,germany_un_base_case_2019,MITTELSBUEREN GT 3
39,2019-01-01 01:00:00,EOM,58,germany_un_base_case_2019,KW MARL BLOCK 312 EVONIK
40,2019-01-01 01:00:00,EOM,300,germany_un_base_case_2019,WEISWEILER F
41,2019-01-01 01:00:00,EOM,481,germany_un_base_case_2019,EMSLAND LINGEN C
42,2019-01-01 01:00:00,EOM,1012,germany_un_base_case_2019,NIEDERAUSSEM K
43,2019-01-01 01:00:00,EOM,300,germany_un_base_case_2019,FRIMMERSDORF P
44,2019-01-01 01:00:00,EOM,150,germany_un_base_case_2019,NIEDERAUSSEM D
45,2019-01-01 01:00:00,EOM,850,germany_un_base_case_2019,EMSLAND LINGEN D
46,2019-01-01 01:00:00,EOM,272,germany_un_base_case_2019,KW WEISWEILER VGT BLOCK H
47,2019-01-01 01:00:00,EOM,300,germany_un_base_case_2019,FRIMMERSDORF Q
48,2019-01-01 01:00:00,EOM,481,germany_un_base_case_2019,EMSLAND LINGEN B
49,2019-01-01 01:00:00,EOM,315,germany_un_base_case_2019,NIEDERAUSSEM E
50,2019-01-01 01:00:00,EOM,820,germany_un_base_case_2019,WESTFALEN E
51,2019-01-01 01:00:00,EOM,55,germany_un_base_case_2019,GERSTEINWERK BLOCK I GT
52,2019-01-01 01:00:00,EOM,320,germany_un_base_case_2019,NIEDERAUSSEM F
53,2019-01-01 01:00:00,EOM,620,germany_un_base_case_2019,NIEDERAUSSEM H
54,2019-01-01 01:00:00,EOM,670,germany_un_base_case_2019,GERSTEINWERK BLOCK K
55,2019-01-01 01:00:00,EOM,300,germany_un_base_case_2019,NEURATH A
56,2019-01-01 01:00:00,EOM,300,germany_un_base_case_2019,WEISWEILER E
57,2019-01-01 01:00:00,EOM,200,germany_un_base_case_2019,HKW HOECHST BUSINESS PARK
58,2019-01-01 01:00:00,EOM,272,germany_un_base_case_2019,KW WEISWEILER VGT BLOCK G
59,2019-01-01 01:00:00,EOM,410,germany_un_base_case_2019,GERSTEINWERK BLOCK F
60,2019-01-01 01:00:00,EOM,600,germany_un_base_case_2019,WEISWEILER G
61,2019-01-01 01:00:00,EOM,620,germany_un_base_case_2019,NIEDERAUSSEM G
62,2019-01-01 01:00:00,EOM,201,germany_un_base_case_2019,FRECHEN WACHTBERG
63,2019-01-01 01:00:00,EOM,335,germany_un_base_case_2019,NIEDERAUSSEM C
64,2019-01-01 01:00:00,EOM,410,germany_un_base_case_2019,GERSTEINWERK BLOCK G
65,2019-01-01 01:00:00,EOM,580,germany_un_base_case_2019,DORMAGEN RWE
66,2019-01-01 01:00:00,EOM,560,germany_un_base_case_2019,NEURATH G
67,2019-01-01 01:00:00,EOM,330,germany_un_base_case_2019,IBBENBUEREN B NO 1
68,2019-01-01 01:00:00,EOM,600,germany_un_base_case_2019,WEISWEILER H
69,2019-01-01 01:00:00,EOM,300,germany_un_base_case_2019,NEURATH D
70,2019-01-01 01:00:00,EOM,560,germany_un_base_case_2019,NEURATH F
71,2019-01-01 01:00:00,EOM,150,germany_un_base_case_2019,NEURATH B
72,2019-01-01 01:00:00,EOM,540,germany_un_base_case_2019,KKW GUNDREMMINGEN C
73,2019-01-01 01:00:00,EOM,447.75,germany_un_base_case_2019,KKW EMSLAND
74,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,NEURATH C
75,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,NEURATH E
76,2019-01-01 01:00:00,EOM,100,germany_un_base_case_2019,KW HANNOVER HERRENHAUSEN B
77,2019-01-01 01:00:00,EOM,39,germany_un_base_case_2019,KW ZIELITZ
78,2019-01-01 01:00:00,EOM,73,germany_un_base_case_2019,WERDOHL ELVERLINGSEN 1
79,2019-01-01 01:00:00,EOM,77,germany_un_base_case_2019,WERDOHL ELVERLINGSEN 2
80,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,Rönkhausen
81,2019-01-01 01:00:00,EOM,-1158,germany_un_base_case_2019,DE_NL
82,2019-01-01 01:00:00,EOM,-800,germany_un_base_case_2019,DE_CH
83,2019-01-01 01:00:00,EOM,-3244,germany_un_base_case_2019,DE_FR
84,2019-01-01 01:00:00,EOM,818,germany_un_base_case_2019,DE_DK
85,2019-01-01 01:00:00,EOM,-382,germany_un_base_case_2019,DE_LU
86,2019-01-01 01:00:00,EOM,-243,germany_un_base_case_2019,DE_CZ
87,2019-01-01 01:00:00,EOM,-5013,germany_un_base_case_2019,DE_AT
88,2019-01-01 01:00:00,EOM,47,germany_un_base_case_2019,GTKW DARMSTADT GT 1
89,2019-01-01 01:00:00,EOM,47,germany_un_base_case_2019,GTKW DARMSTADT GT 2
90,2019-01-01 01:00:00,EOM,42,germany_un_base_case_2019,KW LANDESBERGEN GT
91,2019-01-01 01:00:00,EOM,37,germany_un_base_case_2019,KW EMDEN BLOCK 4 GT
92,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,Erzhausen
93,2019-01-01 01:00:00,EOM,49,germany_un_base_case_2019,INDUSTRIEKRAFTWERK BERNBURG (IKB)
94,2019-01-01 01:00:00,EOM,38,germany_un_base_case_2019,KW LEUNA GT 3
95,2019-01-01 01:00:00,EOM,128,germany_un_base_case_2019,DKW BGH O1 BURGHAUSEN WACKER CHEMIE
96,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,Koepchenwerk Herdecke II
97,2019-01-01 01:00:00,EOM,0,germany_un_base_case_2019,Wehr
98,2019-01-01 01:00:00,EOM,48,germany_un_base_case_2019,ALTBACH II GT E
99,2019-01-01 01:00:00,EOM,45,germany_un_base_case_2019,MARBACH 3 GT 1
100,2019-01-01 01:00:00,EOM,90,germany_un_base_case_2019,WALHEIM GT 1
101,2019-01-01 01:00:00,EOM,205,germany_un_base_case_2019,MARBACH 3
102,2019-01-01 01:00:00,EOM,57,germany_un_base_case_2019,FLINGERN GT 1
103,2019-01-01 01:00:00,EOM,37,germany_un_base_case_2019,ALTBACH I NO 5 GT 1
104,2019-01-01 01:00:00,EOM,72,germany_un_base_case_2019,ALTBACH I GT 3
