,efficiency,emission_factor,max_power,min_power,node,simulation,technology,unit_operator
HKW DRESDEN NOSSENER BRUECKE,0.48,0.201,268,110,node0,germany_un_base_case_2019,combined cycle gas turbine,DREWAG - STADTWERKE DRESDEN GMBH
GUD MUENSTER HAFEN,0.54,0.201,100,40,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE MUENSTER
HKW DUISBURG WANHEIM IIIB,0.54,0.201,230,100,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE DUISBURG AG
KW DUISBURG HUCKINGEN BLOCK A,0.363,0.201,303,80,node0,germany_un_base_case_2019,open cycle gas turbine,STADTWERKE DUISBURG AG
KW DUISBURG HUCKINGEN BLOCK B,0.363,0.201,303,80,node0,germany_un_base_case_2019,open cycle gas turbine,STADTWERKE DUISBURG AG
HKW DUISBURG WANHEIM IIIA,0.36,0.201,40,10,node0,germany_un_base_case_2019,open cycle gas turbine,STADTWERKE DUISBURG AG
GUD ROSTOCK MARIENEHE,0.48,0.201,111,50,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE ROSTOCK AG
HKW POTSDAM SUED,0.47,0.201,81,33,node0,germany_un_base_case_2019,combined cycle gas turbine,EWP - ENERGIE UND WASSER POTSDAM
KW BASF LUDWIGSHAFEN MITTE,0.56,0.201,490,200,node0,germany_un_base_case_2019,combined cycle gas turbine,BASF AG
KW BASF LUDWIGSHAFEN SUED,0.51,0.201,396,160,node0,germany_un_base_case_2019,combined cycle gas turbine,BASF AG
KW BASF LUDWIGSHAFEN NORD,0.38,0.201,56,23,node0,germany_un_base_case_2019,combined cycle gas turbine,BASF AG
HOECHST 3,0.36,0.335,64,26,node0,germany_un_base_case_2019,hard coal,SUWAG ENERGIE AG
HKW ELTMANN,0.41,0.201,54,22,node0,germany_un_base_case_2019,combined cycle gas turbine,PAPIERFABRIK PALM GMBH & CO KG
MAINZ III,0.58,0.201,397,160,node0,germany_un_base_case_2019,combined cycle gas turbine,KRAFTWERK MAINZ-WIESBADEN AG
KW MAINZ II GT,0.41,0.201,94,24,node0,germany_un_base_case_2019,open cycle gas turbine,KRAFTWERK MAINZ-WIESBADEN AG
HKW FRIEDENSBRUECKE BLOCK IV,0.38,0.201,45,18,node0,germany_un_base_case_2019,combined cycle gas turbine,WVV - WUERZBURGER VERSORGUNGS- und VERKEHRS GMBH
HKW FRIEDENSBRUECKE BLOCK II,0.38,0.201,30,12,node0,germany_un_base_case_2019,combined cycle gas turbine,WVV - WUERZBURGER VERSORGUNGS- und VERKEHRS GMBH
