,capacity,efficiency_charge,efficiency_discharge,max_power_charge,max_power_discharge,max_soc,min_power_charge,min_power_discharge,min_soc,node,simulation,technology,unit_operator
Hohenwarte I,504,0.87,0.8,-34,63,1,0,0,0,node0,germany_un_base_case_2019,PSPP,VATTENFALL EUROPE AG
Bleiloch,640,0.87,0.8,-32,80,1,0,0,0,node0,germany_un_base_case_2019,PSPP,VATTENFALL EUROPE AG
Wendefurth,523,0.88,0.82,-72,80,1,0,0,0,node0,germany_un_base_case_2019,PSPP,VATTENFALL EUROPE AG
Geesthacht,600,0.87,0.81,-96,105,1,0,0,0,node0,germany_un_base_case_2019,PSPP,VATTENFALL EUROPE AG
Hohenwarte II,2087,0.87,0.8,-310,320,1,0,0,0,node0,germany_un_base_case_2019,PSPP,VATTENFALL EUROPE AG
Markersbach,4018,0.89,0.84,-1140,1050,1,0,0,0,node0,germany_un_base_case_2019,PSPP,VATTENFALL EUROPE AG
Goldisthal,8480,0.92,0.88,-1140,1060,1,0,0,0,node0,germany_un_base_case_2019,PSPP,VATTENFALL EUROPE AG
Rönkhausen,690,0.9,0.85,-140,140,1,0,0,0,node0,germany_un_base_case_2019,PSPP,ENERVIE - SUEDWESTFALEN ENERGIE
Erzhausen,940,0.9,0.84,-230,220,1,0,0,0,node0,germany_un_base_case_2019,PSPP,STATKRAFT AS
Koepchenwerk Herdecke II,590,0.9,0.85,-153,153,1,0,0,0,node0,germany_un_base_case_2019,PSPP,RWE POWER AG
Wehr,6076,0.9,0.86,-1000,992,1,0,0,0,node0,germany_un_base_case_2019,PSPP,RWE POWER AG
Schwarzenbachwerk,198,0.82,0.73,-20,46,1,0,0,0,node0,germany_un_base_case_2019,PSPP,ENBW ENERGIE BADEN-WURTTEMBERG
Glems,560,0.89,0.84,-68,90,1,0,0,0,node0,germany_un_base_case_2019,PSPP,ENBW ENERGIE BADEN-WURTTEMBERG
Häusern,514,0.88,0.82,-104,144,1,0,0,0,node0,germany_un_base_case_2019,PSPP,ENBW ENERGIE BADEN-WURTTEMBERG
Waldshut,581,0.86,0.79,-80,176,1,0,0,0,node0,germany_un_base_case_2019,PSPP,ENBW ENERGIE BADEN-WURTTEMBERG
Witznau,880,0.84,0.77,-128,220,1,0,0,0,node0,germany_un_base_case_2019,PSPP,ENBW ENERGIE BADEN-WURTTEMBERG
Säckingen,2064,0.91,0.86,-301,353,1,0,0,0,node0,germany_un_base_case_2019,PSPP,ENBW ENERGIE BADEN-WURTTEMBERG
Leitzach II,550,0.9,0.86,-38,49,1,0,0,0,node0,germany_un_base_case_2019,PSPP,STADTWERKE MUENCHEN GMBH
Leitzach I,550,0.9,0.86,-40,51,1,0,0,0,node0,germany_un_base_case_2019,PSPP,STADTWERKE MUENCHEN GMBH
Waldeck I,478,0.92,0.87,-96,140,1,0,0,0,node0,germany_un_base_case_2019,PSPP,UNIPER
Happurg,900,0.89,0.83,-126,160,1,0,0,0,node0,germany_un_base_case_2019,PSPP,UNIPER
Langenprozelten,950,0.9,0.85,-154,168,1,0,0,0,node0,germany_un_base_case_2019,PSPP,UNIPER
Waldeck II,3428,0.92,0.87,-476,440,1,0,0,0,node0,germany_un_base_case_2019,PSPP,UNIPER
Tanzmühle - Rabenleite,404,0.88,0.81,-25,35,1,0,0,0,node0,germany_un_base_case_2019,PSPP,GDF SUEZ ENERGIE DEUTSCHLAND
Reisach - Rabenleite,630,0.9,0.85,-84,100,1,0,0,0,node0,germany_un_base_case_2019,PSPP,GDF SUEZ ENERGIE DEUTSCHLAND
