number,value,datetime_start,datetime_complete,duration,params_seed,system_attrs_grid_id,system_attrs_search_space,state
0,1351947.3910331726,2026-02-18 13:53:54.509282,2026-02-18 13:58:15.026350,0 days 00:04:20.517068,67,0,"{'seed': [521, 737, 740, 660, 411, 678, 626, 513, 859, 136, 811, 76, 636, 973, 938, 899, 280, 883, 761, 319, 549, 174, 371, 527, 210, 235, 101, 986, 902, 947, 346, 139, 621, 499, 370, 198, 687, 584, 901, 59, 328, 96, 312, 974, 299, 277, 924, 601, 439, 837, 570, 879, 261, 578, 23, 30, 617, 10, 221, 820, 296, 54, 542, 209, 604, 692, 662, 866, 70, 543, 107, 493, 590, 741, 292, 289, 652, 39, 589, 307, 679, 66, 275, 67, 318, 548, 998, 714, 753, 327, 382, 451, 522, 218, 787, 436, 764, 88, 63, 826]}",COMPLETE
1,1313194.0727233887,2026-02-18 13:58:15.026964,2026-02-18 14:02:30.004606,0 days 00:04:14.977642,578,1,"{'seed': [521, 737, 740, 660, 411, 678, 626, 513, 859, 136, 811, 76, 636, 973, 938, 899, 280, 883, 761, 319, 549, 174, 371, 527, 210, 235, 101, 986, 902, 947, 346, 139, 621, 499, 370, 198, 687, 584, 901, 59, 328, 96, 312, 974, 299, 277, 924, 601, 439, 837, 570, 879, 261, 578, 23, 30, 617, 10, 221, 820, 296, 54, 542, 209, 604, 692, 662, 866, 70, 543, 107, 493, 590, 741, 292, 289, 652, 39, 589, 307, 679, 66, 275, 67, 318, 548, 998, 714, 753, 327, 382, 451, 522, 218, 787, 436, 764, 88, 63, 826]}",COMPLETE
2,1311177.6866912842,2026-02-18 14:02:30.005220,2026-02-18 14:06:55.071738,0 days 00:04:25.066518,107,2,"{'seed': [521, 737, 740, 660, 411, 678, 626, 513, 859, 136, 811, 76, 636, 973, 938, 899, 280, 883, 761, 319, 549, 174, 371, 527, 210, 235, 101, 986, 902, 947, 346, 139, 621, 499, 370, 198, 687, 584, 901, 59, 328, 96, 312, 974, 299, 277, 924, 601, 439, 837, 570, 879, 261, 578, 23, 30, 617, 10, 221, 820, 296, 54, 542, 209, 604, 692, 662, 866, 70, 543, 107, 493, 590, 741, 292, 289, 652, 39, 589, 307, 679, 66, 275, 67, 318, 548, 998, 714, 753, 327, 382, 451, 522, 218, 787, 436, 764, 88, 63, 826]}",COMPLETE
3,1237073.6932754517,2026-02-18 14:06:55.072239,2026-02-18 14:11:05.634649,0 days 00:04:10.562410,277,3,"{'seed': [521, 737, 740, 660, 411, 678, 626, 513, 859, 136, 811, 76, 636, 973, 938, 899, 280, 883, 761, 319, 549, 174, 371, 527, 210, 235, 101, 986, 902, 947, 346, 139, 621, 499, 370, 198, 687, 584, 901, 59, 328, 96, 312, 974, 299, 277, 924, 601, 439, 837, 570, 879, 261, 578, 23, 30, 617, 10, 221, 820, 296, 54, 542, 209, 604, 692, 662, 866, 70, 543, 107, 493, 590, 741, 292, 289, 652, 39, 589, 307, 679, 66, 275, 67, 318, 548, 998, 714, 753, 327, 382, 451, 522, 218, 787, 436, 764, 88, 63, 826]}",COMPLETE
4,1236135.1840496063,2026-02-18 14:11:05.635167,2026-02-18 14:15:04.786681,0 days 00:03:59.151514,299,4,"{'seed': [521, 737, 740, 660, 411, 678, 626, 513, 859, 136, 811, 76, 636, 973, 938, 899, 280, 883, 761, 319, 549, 174, 371, 527, 210, 235, 101, 986, 902, 947, 346, 139, 621, 499, 370, 198, 687, 584, 901, 59, 328, 96, 312, 974, 299, 277, 924, 601, 439, 837, 570, 879, 261, 578, 23, 30, 617, 10, 221, 820, 296, 54, 542, 209, 604, 692, 662, 866, 70, 543, 107, 493, 590, 741, 292, 289, 652, 39, 589, 307, 679, 66, 275, 67, 318, 548, 998, 714, 753, 327, 382, 451, 522, 218, 787, 436, 764, 88, 63, 826]}",COMPLETE
5,1210062.9615783691,2026-02-18 14:15:04.787185,2026-02-18 14:18:27.875913,0 days 00:03:23.088728,59,5,"{'seed': [521, 737, 740, 660, 411, 678, 626, 513, 859, 136, 811, 76, 636, 973, 938, 899, 280, 883, 761, 319, 549, 174, 371, 527, 210, 235, 101, 986, 902, 947, 346, 139, 621, 499, 370, 198, 687, 584, 901, 59, 328, 96, 312, 974, 299, 277, 924, 601, 439, 837, 570, 879, 261, 578, 23, 30, 617, 10, 221, 820, 296, 54, 542, 209, 604, 692, 662, 866, 70, 543, 107, 493, 590, 741, 292, 289, 652, 39, 589, 307, 679, 66, 275, 67, 318, 548, 998, 714, 753, 327, 382, 451, 522, 218, 787, 436, 764, 88, 63, 826]}",COMPLETE
6,1232257.2462558746,2026-02-18 14:18:27.876389,2026-02-18 14:21:50.175216,0 days 00:03:22.298827,371,6,"{'seed': [521, 737, 740, 660, 411, 678, 626, 513, 859, 136, 811, 76, 636, 973, 938, 899, 280, 883, 761, 319, 549, 174, 371, 527, 210, 235, 101, 986, 902, 947, 346, 139, 621, 499, 370, 198, 687, 584, 901, 59, 328, 96, 312, 974, 299, 277, 924, 601, 439, 837, 570, 879, 261, 578, 23, 30, 617, 10, 221, 820, 296, 54, 542, 209, 604, 692, 662, 866, 70, 543, 107, 493, 590, 741, 292, 289, 652, 39, 589, 307, 679, 66, 275, 67, 318, 548, 998, 714, 753, 327, 382, 451, 522, 218, 787, 436, 764, 88, 63, 826]}",COMPLETE
7,1235160.2311134338,2026-02-18 14:21:50.175738,2026-02-18 14:25:07.926269,0 days 00:03:17.750531,679,7,"{'seed': [521, 737, 740, 660, 411, 678, 626, 513, 859, 136, 811, 76, 636, 973, 938, 899, 280, 883, 761, 319, 549, 174, 371, 527, 210, 235, 101, 986, 902, 947, 346, 139, 621, 499, 370, 198, 687, 584, 901, 59, 328, 96, 312, 974, 299, 277, 924, 601, 439, 837, 570, 879, 261, 578, 23, 30, 617, 10, 221, 820, 296, 54, 542, 209, 604, 692, 662, 866, 70, 543, 107, 493, 590, 741, 292, 289, 652, 39, 589, 307, 679, 66, 275, 67, 318, 548, 998, 714, 753, 327, 382, 451, 522, 218, 787, 436, 764, 88, 63, 826]}",COMPLETE
8,1234321.019411087,2026-02-18 14:25:07.926829,2026-02-18 14:28:30.439831,0 days 00:03:22.513002,811,8,"{'seed': [521, 737, 740, 660, 411, 678, 626, 513, 859, 136, 811, 76, 636, 973, 938, 899, 280, 883, 761, 319, 549, 174, 371, 527, 210, 235, 101, 986, 902, 947, 346, 139, 621, 499, 370, 198, 687, 584, 901, 59, 328, 96, 312, 974, 299, 277, 924, 601, 439, 837, 570, 879, 261, 578, 23, 30, 617, 10, 221, 820, 296, 54, 542, 209, 604, 692, 662, 866, 70, 543, 107, 493, 590, 741, 292, 289, 652, 39, 589, 307, 679, 66, 275, 67, 318, 548, 998, 714, 753, 327, 382, 451, 522, 218, 787, 436, 764, 88, 63, 826]}",COMPLETE
9,1227281.5961837769,2026-02-18 14:28:30.440380,2026-02-18 14:32:03.461195,0 days 00:03:33.020815,521,9,"{'seed': [521, 737, 740, 660, 411, 678, 626, 513, 859, 136, 811, 76, 636, 973, 938, 899, 280, 883, 761, 319, 549, 174, 371, 527, 210, 235, 101, 986, 902, 947, 346, 139, 621, 499, 370, 198, 687, 584, 901, 59, 328, 96, 312, 974, 299, 277, 924, 601, 439, 837, 570, 879, 261, 578, 23, 30, 617, 10, 221, 820, 296, 54, 542, 209, 604, 692, 662, 866, 70, 543, 107, 493, 590, 741, 292, 289, 652, 39, 589, 307, 679, 66, 275, 67, 318, 548, 998, 714, 753, 327, 382, 451, 522, 218, 787, 436, 764, 88, 63, 826]}",COMPLETE
